,Another_Same_Day,Another_Same_Hour,Another_Same_Minute,Another_Same_Second,Tweet_Length,Twitter Web App,Twitter for Android,Twitter for iPhone,dlvr.it,Twitter for iPad,IFTTT,TweetDeck,Hootsuite Inc.,IdeallyaNews,LinkedIn,TweetDeck Web App,Buffer,Paper.li,Tweet Hunter Pro,Euro News Support App,Twitter Media Studio - LiveCut,Mirage News Posts,Twitter Media Studio,twittbot.net,CliffordRibnerWeb,SnapStream TV Search,Eagle News AutoPublish,Grabyo,Isrg,Vimeo,FS-Poster-App,Make (formerly Integromat),MeetEdgar,newswall_org,Is_A_Reply,Is_Quoted_Tweet,Retweet_Count,Favorite_Count,Russia,United Kingdom,Country_Not_Given,United States,Lanuage_en,Lanuage_qme,Lanuage_ru,Lanuage_qht,Lanuage_und,Lanuage_uk,Lanuage_de,Lanuage_fr,Lanuage_in,Lanuage_vi,Lanuage_es,Lanuage_it,Lanuage_zh,Lanuage_ja,Lanuage_pt,Lanuage_hi,Lanuage_pl,Lanuage_ro,Lanuage_tr,Lanuage_ar,Lanuage_ca,Lanuage_el,Lanuage_et,Lanuage_fa,Lanuage_ta,Lanuage_da,Lanuage_fi,Lanuage_nl,Lanuage_bn,Lanuage_tl,Lanuage_cs,Lanuage_bg,Lanuage_ht,Lanuage_sv,Lanuage_mr,Lanuage_no,Lanuage_hu,Lanuage_te,Lanuage_sl,Lanuage_cy,Screen_Name_Has_Numbers_In_End,From_US,From_Ukraine,From_Russia,From_Another_Country,From_Not_Given,Has_URL_In_Profile,Is_Verified,Followers_Count,Friends_Count,Listed_Count,Favourites_Count,Statuses_Count,Has_Default_Profile,Has_Default_Profile_Image,Is_Withheld_In_Countries,Account_Created_March_2023,Account_Created_2023,Account_Created_During_The_War,Account_Created_Before_The_War,Is_Description_There,Does_Description_Have_Keywords,Number_Of_Other_Tweets_Collected_From_Same_User
0,0,0,0,0,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4954.0,1970.0,80.0,15910.0,248370.0,1,0,0,0,0,0,1,1,0,12.0
1,0,0,0,0,138.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,171.0,429.0,5.0,12.0,24644.0,1,0,0,0,0,1,0,0,0,1995.0
2,0,0,0,0,138.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1405.0,8.0,35.0,112.0,21073.0,1,0,0,0,0,1,0,1,0,8.0
3,1,1,0,0,138.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,171.0,429.0,5.0,12.0,24644.0,1,0,0,0,0,1,0,0,0,1995.0
4,1,1,0,0,135.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,171.0,429.0,5.0,12.0,24644.0,1,0,0,0,0,1,0,0,0,1995.0
5,0,0,0,0,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,198.0,0.0,31.0,7.0,428.0,1,0,0,0,0,0,1,1,0,12.0
6,0,0,0,0,138.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1048.0,4188.0,6.0,22160.0,9117.0,1,0,0,0,0,0,1,1,0,9.0
7,1,1,0,0,129.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,171.0,429.0,5.0,12.0,24644.0,1,0,0,0,0,1,0,0,0,1995.0
8,0,0,0,0,122.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9566.0,10013.0,1411.0,1607950.0,1381585.0,0,0,0,0,0,0,1,1,0,0.0
9,1,1,0,0,135.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,171.0,429.0,5.0,12.0,24644.0,1,0,0,0,0,1,0,0,0,1995.0
